prix,type_de_bien,details,zone
290000,Appartement à vendre - neuf,3 pièces · 2 chambres · 68 m² · dès le 31/03/2028,Parilly-Jules Guesde  Vénissieux (69200)
219400,Appartement à vendre - neuf,2 pièces · 44 m²,Moulin à Vent-Ernest Renan  Vénissieux (69200)
250000,Appartement à vendre - neuf,2 pièces · 47 m²,Cornavent  Décines-Charpieu (69150)
136900,Appartement à vendre - neuf,"2 pièces · 1 chambre · 45,3 m² · 2ème étage",Sud  L'Arbresle (69210)
264000,Appartement à vendre - neuf,2 pièces · 1 chambre · 42 m²,Francheville (69340)
220000,Appartement à vendre - neuf,2 pièces · 1 chambre · 42 m²,Lyon 9ème arrondissement (69009)
599000,Appartement à vendre,"4 pièces · 3 chambres · 98,1 m² · RDC/4",Centre  Écully (69130)
280400,Appartement à vendre - neuf,"4 pièces · 78,2 m² · Étage 1/4 · dès le 31/12/2028",Le Grand Vivier-Le Garet-Pontbichet-Troussier  Villefranche-sur-Saône (69400)
220000,Appartement à vendre - neuf,"2 pièces · 40,9 m² · 2 étages · dès le 31/12/2027",Brindas (69126)
298000,Appartement à vendre - neuf,"4 pièces · 84,2 m² · 3ème étage · dès le 30/09/2026",Centre Ville  Saint-Fons (69190)
740000,Maison à vendre,8 pièces · 5 chambres · 226 m² · 2 405 m² de terrain,Roche (38090)
310000,Appartement à vendre,4 pièces · 3 chambres · 82 m² · Étage 6/7,Clément  Villeurbanne (69100)
294597,Appartement à vendre - neuf,4 pièces · 82 m²,Le Mas  Vaulx-en-Velin (69120)
770000,Maison à vendre,7 pièces · 5 chambres · 320 m² · 1 500 m² de terrain,Crepieux  Rillieux-la-Pape (69140)
1050000,Maison à vendre,"7 pièces · 5 chambres · 164,4 m²",Montessuy  Caluire-et-Cuire (69300)
128257,Appartement à vendre - neuf,1 pièce · 28 m² · 2ème étage · dès le 31/03/2028,Rillieux-la-Pape (69140)
163927,Appartement à vendre - neuf,2 pièces · 41 m² · RDC · dès le 31/03/2028,Rillieux-la-Pape (69140)
264656,Appartement à vendre - neuf,5 pièces · 98 m² · 3ème étage · dès le 30/06/2027,Le-Fort  Meyzieu (69330)
